graph_type,n_nodes,r,replicate_id,fixation,steps,mutant_count
complete,20,1.0,0,False,4,0
complete,20,1.0,1,False,30,0
complete,20,1.0,2,False,50,0
complete,20,1.0,3,False,11,0
complete,20,1.0,4,False,11,0
complete,20,1.0,5,False,47,0
complete,20,1.0,6,False,28,0
complete,20,1.0,7,False,7,0
complete,20,1.0,8,False,29,0
complete,20,1.0,9,False,25,0
complete,20,1.0,10,False,2,0
complete,20,1.0,11,False,6,0
complete,20,1.0,12,False,87,0
complete,20,1.0,13,False,11,0
complete,20,1.0,14,False,37,0
complete,20,1.0,15,False,33,0
complete,20,1.0,16,False,4,0
complete,20,1.0,17,False,229,0
complete,20,1.0,18,False,5,0
complete,20,1.0,19,False,231,0
complete,20,1.0,20,False,12,0
complete,20,1.0,21,False,132,0
complete,20,1.0,22,False,31,0
complete,20,1.0,23,False,53,0
complete,20,1.0,24,False,1,0
complete,20,1.0,25,False,24,0
complete,20,1.0,26,False,102,0
complete,20,1.0,27,False,61,0
complete,20,1.0,28,False,3,0
complete,20,1.0,29,False,143,0
complete,20,1.0,30,False,17,0
complete,20,1.0,31,False,1,0
complete,20,1.0,32,False,2,0
complete,20,1.0,33,False,7,0
complete,20,1.0,34,False,78,0
complete,20,1.0,35,False,2,0
complete,20,1.0,36,False,2,0
complete,20,1.0,37,False,18,0
complete,20,1.0,38,False,10,0
complete,20,1.0,39,False,273,0
complete,20,1.0,40,False,10,0
complete,20,1.0,41,False,83,0
complete,20,1.0,42,False,85,0
complete,20,1.0,43,False,3,0
complete,20,1.0,44,False,66,0
complete,20,1.0,45,False,160,0
complete,20,1.0,46,False,19,0
complete,20,1.0,47,False,100,0
complete,20,1.0,48,False,8,0
complete,20,1.0,49,False,157,0
complete,20,1.1,0,False,1,0
complete,20,1.1,1,False,2,0
complete,20,1.1,2,False,9,0
complete,20,1.1,3,False,27,0
complete,20,1.1,4,False,3,0
complete,20,1.1,5,False,12,0
complete,20,1.1,6,False,21,0
complete,20,1.1,7,False,6,0
complete,20,1.1,8,True,321,20
complete,20,1.1,9,False,59,0
complete,20,1.1,10,False,41,0
complete,20,1.1,11,False,27,0
complete,20,1.1,12,False,13,0
complete,20,1.1,13,False,40,0
complete,20,1.1,14,False,9,0
complete,20,1.1,15,False,10,0
complete,20,1.1,16,False,6,0
complete,20,1.1,17,False,314,0
complete,20,1.1,18,False,69,0
complete,20,1.1,19,False,3,0
complete,20,1.1,20,False,29,0
complete,20,1.1,21,False,115,0
complete,20,1.1,22,False,29,0
complete,20,1.1,23,False,85,0
complete,20,1.1,24,True,133,20
complete,20,1.1,25,True,1128,20
complete,20,1.1,26,False,31,0
complete,20,1.1,27,True,1151,20
complete,20,1.1,28,False,1,0
complete,20,1.1,29,True,604,20
complete,20,1.1,30,False,155,0
complete,20,1.1,31,False,3,0
complete,20,1.1,32,False,77,0
complete,20,1.1,33,False,1,0
complete,20,1.1,34,False,11,0
complete,20,1.1,35,False,16,0
complete,20,1.1,36,False,67,0
complete,20,1.1,37,False,9,0
complete,20,1.1,38,True,247,20
complete,20,1.1,39,False,29,0
complete,20,1.1,40,False,13,0
complete,20,1.1,41,False,37,0
complete,20,1.1,42,False,8,0
complete,20,1.1,43,False,13,0
complete,20,1.1,44,True,906,20
complete,20,1.1,45,True,196,20
complete,20,1.1,46,True,240,20
complete,20,1.1,47,False,273,0
complete,20,1.1,48,False,197,0
complete,20,1.1,49,False,43,0
complete,20,1.5,0,False,48,0
complete,20,1.5,1,False,20,0
complete,20,1.5,2,False,13,0
complete,20,1.5,3,False,8,0
complete,20,1.5,4,False,14,0
complete,20,1.5,5,False,21,0
complete,20,1.5,6,False,19,0
complete,20,1.5,7,False,2,0
complete,20,1.5,8,False,112,0
complete,20,1.5,9,False,2,0
complete,20,1.5,10,True,328,20
complete,20,1.5,11,True,215,20
complete,20,1.5,12,True,248,20
complete,20,1.5,13,True,104,20
complete,20,1.5,14,True,164,20
complete,20,1.5,15,True,281,20
complete,20,1.5,16,False,52,0
complete,20,1.5,17,False,5,0
complete,20,1.5,18,True,152,20
complete,20,1.5,19,True,130,20
complete,20,1.5,20,False,18,0
complete,20,1.5,21,False,28,0
complete,20,1.5,22,False,3,0
complete,20,1.5,23,True,313,20
complete,20,1.5,24,False,11,0
complete,20,1.5,25,False,100,0
complete,20,1.5,26,False,4,0
complete,20,1.5,27,True,204,20
complete,20,1.5,28,True,280,20
complete,20,1.5,29,True,236,20
complete,20,1.5,30,True,290,20
complete,20,1.5,31,False,3,0
complete,20,1.5,32,False,14,0
complete,20,1.5,33,False,137,0
complete,20,1.5,34,False,34,0
complete,20,1.5,35,True,284,20
complete,20,1.5,36,True,156,20
complete,20,1.5,37,False,39,0
complete,20,1.5,38,True,274,20
complete,20,1.5,39,False,7,0
complete,20,1.5,40,True,267,20
complete,20,1.5,41,True,153,20
complete,20,1.5,42,False,171,0
complete,20,1.5,43,False,7,0
complete,20,1.5,44,False,3,0
complete,20,1.5,45,True,308,20
complete,20,1.5,46,True,89,20
complete,20,1.5,47,False,22,0
complete,20,1.5,48,True,148,20
complete,20,1.5,49,False,60,0
